iteration, added, updated, ignored, duration[s], overall, 27841.9
246, 1, 80, 172, 55.5945
247, 5, 56, 139, 54.7422
248, 4, 47, 105, 54.8664
249, 10, 36, 91, 54.3963
250, 2, 42, 74, 53.9681
251, 15, 34, 92, 55.6815
252, 5, 34, 88, 55.1759
253, 5, 40, 99, 55.925
254, 13, 42, 103, 55.5927
255, 16, 47, 109, 55.9271
256, 11, 54, 116, 55.8625
257, 25, 53, 117, 56.051
258, 27, 71, 151, 56.0889
259, 22, 88, 180, 56.1034
260, 19, 102, 192, 57.189
261, 18, 100, 185, 56.0224
262, 18, 109, 174, 56.5558
263, 7, 115, 153, 56.3638
264, 18, 100, 153, 56.7004
265, 13, 124, 126, 57.2811
266, 13, 128, 143, 56.9911
267, 6, 138, 144, 56.8297
268, 3, 124, 161, 56.5503
269, 3, 125, 161, 56.8093
270, 4, 111, 144, 57.4081
271, 6, 93, 146, 57.7212
272, 5, 75, 146, 58.0091
273, 30, 43, 128, 57.8851
274, 41, 54, 122, 60.964
275, 28, 78, 101, 60.8208
276, 22, 93, 114, 58.6678
277, 21, 107, 125, 59.4336
278, 11, 119, 133, 58.078
279, 7, 124, 153, 59.2906
280, 5, 125, 167, 58.8171
281, 6, 106, 152, 58.4959
282, 8, 101, 142, 58.3159
283, 5, 80, 95, 59.1143
284, 4, 76, 94, 60.6279
285, 5, 70, 64, 60.5601
286, 5, 65, 63, 64.1676
287, 3, 63, 92, 63.6306
288, 2, 63, 113, 62.795
289, 8, 67, 117, 63.7559
290, 9, 64, 117, 63.5106
291, 8, 58, 112, 84.3921
292, 4, 66, 152, 61.7779
293, 6, 69, 147, 61.5386
294, 8, 54, 128, 63.0191
295, 4, 62, 103, 64.4169
296, 13, 58, 96, 64.5154
297, 9, 53, 97, 64.9143
298, 5, 56, 121, 63.7989
299, 9, 53, 117, 68.1267
300, 13, 54, 135, 66.745
301, 5, 56, 142, 66.2067
302, 15, 53, 158, 63.9956
303, 7, 59, 152, 64.7243
304, 6, 61, 172, 65.4425
305, 3, 60, 153, 65.2626
306, 10, 53, 138, 66.7086
307, 5, 59, 127, 65.7823
308, 7, 55, 98, 64.8765
309, 5, 38, 102, 65.1232
310, 9, 34, 104, 64.4673
311, 6, 37, 102, 64.085
312, 6, 38, 111, 64.5509
313, 1, 39, 87, 64.064
314, 7, 40, 89, 64.2355
315, 8, 39, 82, 64.2113
316, 5, 38, 70, 63.5632
317, 4, 43, 62, 65.3044
318, 7, 42, 78, 63.79
319, 0, 45, 76, 64.0508
320, 9, 40, 81, 64.7685
321, 8, 42, 66, 65.0121
322, 12, 37, 82, 65.158
323, 12, 48, 82, 65.0036
324, 12, 49, 80, 66.0558
325, 20, 53, 68, 65.1857
326, 21, 55, 76, 65.4659
327, 13, 75, 96, 65.7149
328, 13, 83, 101, 65.1764
329, 15, 91, 92, 66.4508
330, 24, 99, 96, 66.4115
331, 20, 120, 105, 66.1366
332, 16, 119, 112, 66.7014
333, 12, 138, 118, 66.5129
334, 25, 141, 132, 66.3924
335, 18, 160, 196, 69.7567
336, 10, 153, 222, 68.7369
337, 29, 153, 239, 69.4204
