Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
118, 1, 110, 98, 0, 0.877121, 831, 1244, 455, 9754, 9639, 12503, 8174, 6077, 0.515275, 5849, 234, 6278, 15, 
119, 1, 159, 64, 0, 0.881727, 732, 1284, 292, 10292, 10139, 13184, 9161, 6278, 0.524754, 6044, 249, 6692, 46, 
120, 1, 179, 92, 0, 0.885045, 898, 1124, 352, 10866, 10696, 14244, 10024, 6723, 0.528872, 6462, 276, 6985, 37, 
121, 1, 161, 105, 0, 0.88958, 896, 970, 410, 11310, 11160, 15280, 10781, 7007, 0.542206, 6690, 332, 7327, 27, 
122, 1, 138, 104, 50, 0.902297, 838, 852, 390, 11840, 11683, 15636, 11043, 7339, 0.531414, 7059, 295, 7664, 40, 
123, 1, 161, 97, 0, 0.902116, 877, 1003, 406, 12480, 12307, 16975, 11969, 7670, 0.54885, 7305, 399, 8121, 32, 
124, 1, 155, 112, 0, 0.90188, 975, 804, 461, 13053, 12922, 17534, 12038, 8119, 0.537642, 7785, 368, 8430, 22, 
125, 1, 111, 163, 0, 0.901179, 1163, 671, 697, 13319, 13259, 18467, 12557, 8418, 0.544801, 8080, 372, 8523, 29, 
126, 1, 123, 169, 0, 0.896502, 1244, 950, 746, 13611, 13451, 18560, 13058, 8518, 0.541698, 8160, 392, 8774, 32, 
127, 1, 119, 187, 0, 0.896223, 1414, 1150, 847, 9511, 9346, 13082, 9346, 5834, 0.55486, 5562, 257, 6295, 31, 
128, 1, 138, 180, 0, 0.892038, 1471, 1372, 884, 10178, 10022, 15058, 10302, 6328, 0.580065, 6029, 297, 6638, 13, 
129, 1, 139, 144, 0, 0.895456, 1189, 1817, 702, 10813, 10644, 14907, 10059, 6653, 0.554029, 6397, 254, 7095, 23, 
130, 1, 164, 109, 0, 0.898483, 937, 1945, 447, 11650, 11497, 16553, 10538, 7120, 0.570152, 6812, 306, 7634, 23, 
